ResponseId,qual_review,has_edu_email,qual_imagine
R_30bCUomrs8uUAg2,A,1,"I think it is unlikely that bots complete surveys. Instead, I think inattentive humans complete surveys quickly."
R_2y3DwZa5QCUKHNr,A,1,It would sharply skew the data results
R_vekEwtK20Zj6JyN,A,1,NA
R_1NXgo3PdST2DXeF,A,1,"I think bots can harm psychological research in a variety of ways. Data privded by bots could change results which could then lead to findings resulting in erronous conclusions. On a smaller note, bots impact researchers by adding mental work when thinking about how to adress bots in online surveys and can have financial costs to the researchers where they have to collect additional participants."
R_eqRI6u8mJSDW9dn,A,1,They are a serious threat to the validity of our research.
R_1FqBuQa8zGcPIEi,A,1,NA
R_238LSvOZtWfp8Kh,A,1,I'm not sure
R_237671Z3raWFyCa,A,1,I have not given bots much (if any) thought when I contemplate psychological research.
R_1d6tl9zNdpp7TnI,A,1,Threat to research integrity
R_3dVNdFboMSkD9GI,A,1,"Bot complicate findings, making conclusion to be difficult,  which render the effort meaningless."
R_oYoGyAAqqUMJ95f,A,1,It never occurred to me until I saw the tweet for this study. Seems like a scary problem because it could so easily skew results. But it's a problem that I would expect to be easily avoided with techniques like open-ended questions and captchas. It would be great to see studies specify how they screened for bots in their methods sections.
